"X.Plant_ID","Scientific_Name","Common_Name","Family","Genus","Species","Infraspecies","Native","CoC","Endemic","Persisting","Status_State","nwpl_ncne","State_Rank","Global_Rank","Habitat","Growth_Habit","Duration"
2090,"Abies balsamea","balsam fir","Pinaceae","Abies","balsamea","","Y",6,"N","Y","","FAC","S5","G5","Cool northern forests, swamps, and rich fens. A northern tree most common in high elevation sites where it can becomes a dominant tree. At the upper edges of the sub-alpine it forms krummholz. In lower elevation sites it is mostly restricted to poor or thin soils, or wetlands. Fens and rich swamps in central and western New York that have disjunct small patches of A. balsamea are known locally as fir-tree swamps.","Tree","Perennial"
1373,"Acalypha rhomboidea","common three-seeded Mercury","Euphorbiaceae","Acalypha","rhomboidea","","Y",0,"N","Y","","FACU","S5","G5","Open forests and woodlands, shores of streams, cultivated ground, disturbed soils, and waste places. Mostly occurring in habitats with open dry to mesic disturbed soils.","Forb/herb","Annual"
26,"Acer negundo var. negundo","box elder, ash-leaved maple","Sapindaceae","Acer","negundo","var. negundo","Y",1,"N","Y","","FAC","S5","G5","A weedy tree originally native and rare in south central New York now widespread having spread from cultivation. Floodplain forests, banks of rivers, weedy successional forests, disturbed areas, and urban areas.","Tree","Perennial"
21,"Acer nigrum","black maple","Sapindaceae","Acer","nigrum","","Y",8,"N","Y","","FACU","S5","G5","Mostly restricted to calcareous or rich soils.  Floodplain forests, rich mesic forests, and limestone forests.","Tree","Perennial"
6606,"Acer pensylvanicum","striped maple","Sapindaceae","Acer","pensylvanicum","","Y",7,"N","Y","","FACU","S5","","A small understory tree that does well in cool microclimates.  Forests with a northern affinity, slopes in ravines, and rocky forests.","Tree","Perennial"
23,"Acer rubrum × A. saccharinum = A. ×freemanii","Freeman’s maple","Sapindaceae","Acer","rubrum × A. saccharinum = A. ×freemanii","","Y",NA,"N","Y","","","SNA","GNA","This hybrid can be a dominant tree in floodplain and low swamp forests, as well as scattered in various peatlands.","Tree","Perennial"
31,"Acer rubrum var. rubrum","common red maple","Sapindaceae","Acer","rubrum","var. rubrum","Y",4,"N","Y","","FAC","S5","G5T5","Occurs in a wide variety of habitats and soil types.  Wet swamps to dry forests and young successional habitats this is a very wide spread and common tree.","Tree","Perennial"
29,"Acer saccharinum","silver maple","Sapindaceae","Acer","saccharinum","","Y",6,"N","Y","","FACW","S5","G5","Floodplain forests and banks of larger streams and rivers.  This species is also widely cultivated.","Tree","Perennial"
25,"Acer saccharum","sugar maple","Sapindaceae","Acer","saccharum","","Y",7,"N","Y","","FACU","S5","G5","A widespread and common large tree.  It is a little picky about its habitat preferences.  In northern or cool habitats it grows with other hardwoods notably beech and yellow birch as well as hemlock.  The soils are at least slightly deep or rich.  In more southern areas it does well at the toe of the slope in deep rich soils.  It also occurs in thin soils over limestone.","Tree","Perennial"
6605,"Acer spicatum","mountain maple","Sapindaceae","Acer","spicatum","","Y",8,"N","Y","","FACU","S4S5","","A small understory tree of northern or cool habitats.  Ravine slopes, cool swamps, northern hardwood, and mixed hardwood forests.","Tree","Perennial"
